Size,Algorithm,Type,ThreadCount,ArrayType,Sample,TimeMs,SpeedUp,Efficiency
100000,SelectionSort,Parallel,8,Random,4,47.070899,35.91809453225017,4.489761816531272
100000,MergeSort,Parallel,8,Random,4,3.545699,2.66232412847227,0.33279051605903376
100000,BubbleSort,Parallel,8,Random,4,28237.2836,0.40658844748083345,0.05082355593510418
100000,InsertSort,Parallel,8,Random,4,3.2478,162.55141942237822,20.318927427797277
100000,SelectionSort,Parallel,16,Random,4,19.4213,87.05375026388553,5.440859391492846
100000,MergeSort,Parallel,16,Random,4,3.3275,2.8369045830202855,0.17730653643876784
100000,BubbleSort,Parallel,16,Random,4,29403.077301,0.3904677453475093,0.02440423408421933
100000,InsertSort,Parallel,16,Random,4,3.1974,165.11368611997247,10.31960538249828
100000,SelectionSort,Serial,1,Random,5,1650.8405,0.0,0.0
100000,MergeSort,Serial,1,Random,5,9.066701,0.0,0.0
100000,BubbleSort,Serial,1,Random,5,11407.9969,0.0,0.0
100000,InsertSort,Serial,1,Random,5,499.5533,0.0,0.0
100000,SelectionSort,Parallel,2,Random,5,479.051101,3.44606347121202,1.72303173560601
100000,MergeSort,Parallel,2,Random,5,6.527699,1.3889581918529026,0.6944790959264513
100000,BubbleSort,Parallel,2,Random,5,28173.3715,0.4049212533899253,0.20246062669496265
100000,InsertSort,Parallel,2,Random,5,4.911899,101.70268159015484,50.85134079507742
100000,SelectionSort,Parallel,4,Random,5,122.642501,13.460590631627776,3.365147657906944
100000,MergeSort,Parallel,4,Random,5,3.761399,2.410459778396283,0.6026149445990707
100000,BubbleSort,Parallel,4,Random,5,28446.600999,0.4010319862257369,0.10025799655643422
100000,InsertSort,Parallel,4,Random,5,3.61,138.38041551246536,34.59510387811634
100000,SelectionSort,Parallel,8,Random,5,49.6255,33.26597213126316,4.158246516407895
100000,MergeSort,Parallel,8,Random,5,3.200199,2.8331678748727813,0.35414598435909767
100000,BubbleSort,Parallel,8,Random,5,28568.975899,0.3993141700399318,0.049914271254991475
100000,InsertSort,Parallel,8,Random,5,3.1679,157.69225670002209,19.71153208750276
100000,SelectionSort,Parallel,16,Random,5,21.8454,75.56925027694618,4.723078142309136
100000,MergeSort,Parallel,16,Random,5,3.6571,2.479205107872358,0.15495031924202238
100000,BubbleSort,Parallel,16,Random,5,30761.6726,0.3708509952739046,0.023178187204619036
100000,InsertSort,Parallel,16,Random,5,3.5345,141.33634177394256,8.83352136087141
100000,SelectionSort,Serial,1,Sorted,1,1648.229401,0.0,0.0
100000,MergeSort,Serial,1,Sorted,1,2.0841,0.0,0.0
100000,BubbleSort,Serial,1,Sorted,1,0.0326,0.0,0.0
100000,InsertSort,Serial,1,Sorted,1,0.063999,0.0,0.0
100000,SelectionSort,Parallel,2,Sorted,1,412.880099,3.992029175036601,1.9960145875183004
100000,MergeSort,Parallel,2,Sorted,1,2.006901,1.0384667704087047,0.5192333852043524
100000,BubbleSort,Parallel,2,Sorted,1,5145.6248,6.3354794154443595E-6,3.1677397077221798E-6
100000,InsertSort,Parallel,2,Sorted,1,1.2622,0.05070432578038346,0.02535216289019173
100000,SelectionSort,Parallel,4,Sorted,1,113.729599,14.492528026938706,3.6231320067346764
100000,MergeSort,Parallel,4,Sorted,1,1.9213,1.0847342944881069,0.2711835736220267
100000,BubbleSort,Parallel,4,Sorted,1,5465.109,5.965114328003338E-6,1.4912785820008346E-6
100000,InsertSort,Parallel,4,Sorted,1,1.2777,0.05008922282225874,0.012522305705564686
100000,SelectionSort,Parallel,8,Sorted,1,43.2234,38.132803088142076,4.7666003860177595
100000,MergeSort,Parallel,8,Sorted,1,1.1963,1.7421215414193765,0.21776519267742206
100000,BubbleSort,Parallel,8,Sorted,1,6363.940701,5.1226121567847704E-6,6.403265195980963E-7
100000,InsertSort,Parallel,8,Sorted,1,1.3166,0.04860929667324928,0.00607616208415616
100000,SelectionSort,Parallel,16,Sorted,1,22.3994,73.58364067787531,4.598977542367207
100000,MergeSort,Parallel,16,Sorted,1,1.49,1.398724832214765,0.08742030201342281
100000,BubbleSort,Parallel,16,Sorted,1,6587.532901,4.948741887126098E-6,3.0929636794538115E-7
100000,InsertSort,Parallel,16,Sorted,1,1.5605,0.04101185517462352,0.00256324094841397
100000,SelectionSort,Serial,1,Sorted,2,1633.6342,0.0,0.0
100000,MergeSort,Serial,1,Sorted,2,2.455,0.0,0.0
100000,BubbleSort,Serial,1,Sorted,2,0.0361,0.0,0.0
100000,InsertSort,Serial,1,Sorted,2,0.068099,0.0,0.0
100000,SelectionSort,Parallel,2,Sorted,2,427.2948,3.8232016865171303,1.9116008432585652
100000,MergeSort,Parallel,2,Sorted,2,1.370599,1.7911876486120304,0.8955938243060152
100000,BubbleSort,Parallel,2,Sorted,2,5107.534799,7.067989043768823E-6,3.5339945218844115E-6
100000,InsertSort,Parallel,2,Sorted,2,1.4026,0.048551974903750184,0.024275987451875092
100000,SelectionSort,Parallel,4,Sorted,2,122.069501,13.38282033282007,3.3457050832050177
100000,MergeSort,Parallel,4,Sorted,2,1.694199,1.4490623592624008,0.3622655898156002
100000,BubbleSort,Parallel,4,Sorted,2,5452.0719,6.62133600989378E-6,1.655334002473445E-6
100000,InsertSort,Parallel,4,Sorted,2,1.2506,0.054453062529985614,0.013613265632496404
100000,SelectionSort,Parallel,8,Sorted,2,48.416701,33.741129946048986,4.217641243256123
100000,MergeSort,Parallel,8,Sorted,2,1.1945,2.0552532440351614,0.2569066555043952
100000,BubbleSort,Parallel,8,Sorted,2,6629.845899,5.4450737694288E-6,6.806342211786E-7
100000,InsertSort,Parallel,8,Sorted,2,1.8365,0.037080860332153555,0.004635107541519194
100000,SelectionSort,Parallel,16,Sorted,2,20.7432,78.75516795865633,4.922197997416021
100000,MergeSort,Parallel,16,Sorted,2,1.582001,1.5518321416990255,0.0969895088561891
100000,BubbleSort,Parallel,16,Sorted,2,6669.9752,5.412313976819584E-6,3.38269623551224E-7
100000,InsertSort,Parallel,16,Sorted,2,1.616299,0.0421326747093205,0.0026332921693325313
100000,SelectionSort,Serial,1,Sorted,3,1677.1893,0.0,0.0
100000,MergeSort,Serial,1,Sorted,3,2.239201,0.0,0.0
100000,BubbleSort,Serial,1,Sorted,3,0.0736,0.0,0.0
100000,InsertSort,Serial,1,Sorted,3,0.1033,0.0,0.0
100000,SelectionSort,Parallel,2,Sorted,3,418.8716,4.004065446308606,2.002032723154303
100000,MergeSort,Parallel,2,Sorted,3,1.2762,1.7545847045917569,0.8772923522958784
100000,BubbleSort,Parallel,2,Sorted,3,5138.856701,1.4322251870864146E-5,7.161125935432073E-6
100000,InsertSort,Parallel,2,Sorted,3,1.3824,0.07472511574074074,0.03736255787037037
100000,SelectionSort,Parallel,4,Sorted,3,128.698399,13.031936007222592,3.257984001805648
100000,MergeSort,Parallel,4,Sorted,3,1.4373,1.5579217978153481,0.38948044945383703
100000,BubbleSort,Parallel,4,Sorted,3,5465.0959,1.3467284261196587E-5,3.366821065299147E-6
100000,InsertSort,Parallel,4,Sorted,3,1.1953,0.08642181879026185,0.021605454697565463
100000,SelectionSort,Parallel,8,Sorted,3,45.853601,36.57704658790048,4.57213082348756
100000,MergeSort,Parallel,8,Sorted,3,1.292,1.7331277089783281,0.21664096362229102
100000,BubbleSort,Parallel,8,Sorted,3,6353.130799,1.1584839401006012E-5,1.4481049251257515E-6
100000,InsertSort,Parallel,8,Sorted,3,1.336801,0.07727402956760207,0.009659253695950259
100000,SelectionSort,Parallel,16,Sorted,3,20.468501,81.94001602755375,5.12125100172211
100000,MergeSort,Parallel,16,Sorted,3,1.1905,1.8808912221755567,0.1175557013859723
100000,BubbleSort,Parallel,16,Sorted,3,6743.729801,1.091384177181686E-5,6.821151107385537E-7
100000,InsertSort,Parallel,16,Sorted,3,1.7002,0.06075755793436067,0.003797347370897542
100000,SelectionSort,Serial,1,Sorted,4,1695.769301,0.0,0.0
100000,MergeSort,Serial,1,Sorted,4,2.221801,0.0,0.0
100000,BubbleSort,Serial,1,Sorted,4,0.0343,0.0,0.0
100000,InsertSort,Serial,1,Sorted,4,0.0676,0.0,0.0
100000,SelectionSort,Parallel,2,Sorted,4,464.9219,3.6474283121530737,1.8237141560765369
100000,MergeSort,Parallel,2,Sorted,4,1.517899,1.4637344118416311,0.7318672059208156
100000,BubbleSort,Parallel,2,Sorted,4,5283.1044,6.49239488812676E-6,3.24619744406338E-6
100000,InsertSort,Parallel,2,Sorted,4,1.4093,0.04796707585326048,0.02398353792663024
100000,SelectionSort,Parallel,4,Sorted,4,122.3204,13.863340056114923,3.465835014028731
100000,MergeSort,Parallel,4,Sorted,4,1.2556,1.769513380057343,0.44237834501433576
100000,BubbleSort,Parallel,4,Sorted,4,5662.997699,6.056862782419435E-6,1.5142156956048587E-6
100000,InsertSort,Parallel,4,Sorted,4,1.2739,0.05306538974801789,0.013266347437004472
100000,SelectionSort,Parallel,8,Sorted,4,59.853801,28.33185650147766,3.5414820626847074
100000,MergeSort,Parallel,8,Sorted,4,1.9466,1.1413752183293948,0.14267190229117435
100000,BubbleSort,Parallel,8,Sorted,4,6924.686699,4.95329268903289E-6,6.191615861291112E-7
100000,InsertSort,Parallel,8,Sorted,4,1.315799,0.05137562804045299,0.0064219535050566235
100000,SelectionSort,Parallel,16,Sorted,4,18.8791,89.82257104417053,5.613910690260658
100000,MergeSort,Parallel,16,Sorted,4,1.3148,1.6898395193185276,0.10561496995740798
100000,BubbleSort,Parallel,16,Sorted,4,6702.7488,5.117303515835174E-6,3.1983146973969837E-7
100000,InsertSort,Parallel,16,Sorted,4,1.6659,0.04057866618644576,0.00253616663665286
100000,SelectionSort,Serial,1,Sorted,5,1646.6476,0.0,0.0
100000,MergeSort,Serial,1,Sorted,5,2.3218,0.0,0.0
100000,BubbleSort,Serial,1,Sorted,5,0.0346,0.0,0.0
100000,InsertSort,Serial,1,Sorted,5,0.0679,0.0,0.0
100000,SelectionSort,Parallel,2,Sorted,5,421.973999,3.902248962974612,1.951124481487306
100000,MergeSort,Parallel,2,Sorted,5,1.798,1.2913236929922136,0.6456618464961068
100000,BubbleSort,Parallel,2,Sorted,5,5249.6916,6.590863356620796E-6,3.295431678310398E-6
100000,InsertSort,Parallel,2,Sorted,5,1.5483,0.04385455015177937,0.021927275075889686
100000,SelectionSort,Parallel,4,Sorted,5,122.3003,13.463970243736116,3.365992560934029
